SrNo,CalendarDate,Sales,CategoryByGender,Categories,Brand,Colors,Size,In_Stock,Discount,Customer_Return,Rating
d108,18/04/15,15393,Men,Boots,Kate Spade,Red,39,Yes,No,Yes,1
d109,19/04/15,16884,Men,Boots,Kate Spade,Red,41,Yes,No,No,5
d110,20/04/15,16754,Men,Sneakers,Adidas,Blue,37,Yes,No,Yes,1
d111,21/04/15,16774,Women,Wedges,Kate Spade,Red,38,Yes,Yes,No,3
d112,22/04/15,15110,Men,Sneakers,Tommy Hilfiger,White,39,Yes,Yes,No,5
d113,23/04/15,16496,Men,Boots,Tommy Hilfiger,White,37,Yes,No,No,4
d114,24/04/15,18996,Men,Sneakers,Tommy Hilfiger,White,41,Yes,No,No,5
d115,25/04/15,16210,Women,Stilettos,Aldo,Black,39,Yes,Yes,Yes,1
d116,26/04/15,15215,Men,Sneakers,Coach,Pink,41,Yes,Yes,Yes,1
d117,27/04/15,14689,Women,Stilettos,Tommy Hilfiger,White,41,Yes,No,Yes,2
d118,28/04/15,16845,Men,Flip Flops,Aldo,Black,37,Yes,No,Yes,1
d119,29/04/15,16110,Men,Flip Flops,Adidas,Blue,37,Yes,No,No,5
d120,30/04/15,15959,Women,Stilettos,Aldo,Black,37,Yes,No,Yes,1
d121,01/05/15,15554,Men,Sneakers,Tommy Hilfiger,White,41,Yes,No,No,4
d122,02/05/15,16244,Men,Flip Flops,Coach,Pink,37,Yes,No,Yes,2
d123,03/05/15,16972,Men,Sneakers,Adidas,Blue,41,Yes,Yes,No,5
d124,04/05/15,16306,Women,Stilettos,Kate Spade,Red,39,Yes,Yes,No,5
d125,05/05/15,15278,Men,Boots,Adidas,Blue,38,Yes,Yes,Yes,1
d126,06/05/15,15404,Men,Sneakers,Coach,Pink,37,Yes,Yes,No,5
d127,07/05/15,17698,Men,Sneakers,Tommy Hilfiger,White,37,Yes,No,Yes,2
d128,08/05/15,15270,Men,Sneakers,Coach,Pink,38,Yes,Yes,Yes,1
d129,09/05/15,14979,Women,Stilettos,Tommy Hilfiger,White,39,Yes,Yes,Yes,2
d130,10/05/15,14391,Men,Sneakers,Adidas,Blue,38,Yes,No,No,5
d131,11/05/15,16311,Men,Flip Flops,Tommy Hilfiger,White,38,Yes,Yes,No,4
d132,12/05/15,15924,Men,Sneakers,Adidas,Blue,39,Yes,No,Yes,2
d133,13/05/15,15978,Men,Flip Flops,Coach,Pink,38,Yes,No,No,5
d134,14/05/15,14941,Men,Boots,Kate Spade,Red,40,Yes,Yes,No,5
d135,15/05/15,15820,Men,Flip Flops,Tommy Hilfiger,White,37,Yes,No,Yes,1
d136,16/05/15,16617,Men,Flip Flops,Kate Spade,Red,38,Yes,Yes,No,5
d137,17/05/15,15174,Men,Flip Flops,Aldo,Black,38,Yes,Yes,Yes,2
d138,18/05/15,15061,Men,Flip Flops,Tommy Hilfiger,White,40,Yes,Yes,Yes,1
d139,19/05/15,14370,Men,Sneakers,Aldo,Black,40,Yes,No,Yes,2
d140,20/05/15,16707,Men,Sneakers,Coach,Pink,40,Yes,Yes,No,5
d141,21/05/15,15730,Men,Boots,Adidas,Blue,38,Yes,No,No,5
d142,22/05/15,15080,Men,Flip Flops,Kate Spade,Red,40,Yes,No,No,5
d143,23/05/15,14936,Women,Stilettos,Adidas,Blue,39,Yes,No,No,5
d144,24/05/15,21369,Men,Sneakers,Coach,Pink,37,Yes,Yes,No,4
d145,25/05/15,21378,Men,Sneakers,Tommy Hilfiger,White,39,Yes,Yes,Yes,1
d146,26/05/15,21244,Men,Flip Flops,Coach,Pink,40,Yes,Yes,No,4
d147,27/05/15,18650,Men,Boots,Coach,Pink,38,Yes,No,Yes,1
d148,28/05/15,19910,Men,Boots,Kate Spade,Red,39,Yes,Yes,No,5
d149,29/05/15,19904,Men,Boots,Tommy Hilfiger,White,39,Yes,No,Yes,1
d150,30/05/15,19460,Men,Sneakers,Kate Spade,Red,37,Yes,Yes,No,5
d151,31/05/15,17501,Men,Sneakers,Aldo,Black,39,Yes,No,No,5
d152,01/06/15,20661,Men,Sneakers,Tommy Hilfiger,White,38,Yes,Yes,No,5
d153,02/06/15,19546,Men,Flip Flops,Coach,Pink,40,Yes,Yes,No,5
d154,03/06/15,18749,Men,Sneakers,Kate Spade,Red,41,Yes,No,No,4
d155,04/06/15,18219,Men,Boots,Tommy Hilfiger,White,40,Yes,No,Yes,1
d156,05/06/15,18024,Men,Sneakers,Coach,Pink,38,Yes,No,No,4
d157,06/06/15,20425,Women,Stilettos,Tommy Hilfiger,White,40,Yes,No,Yes,1
d158,07/06/15,18807,Men,Flip Flops,Kate Spade,Red,37,Yes,No,No,5
d159,08/06/15,18969,Men,Flip Flops,Adidas,Blue,40,Yes,No,Yes,1
d160,09/06/15,19571,Men,Sneakers,Adidas,Blue,39,Yes,Yes,No,5
d161,10/06/15,21025,Men,Sneakers,Adidas,Blue,37,Yes,No,No,5
d162,11/06/15,20255,Women,Stilettos,Coach,Pink,40,Yes,No,No,5
d163,12/06/15,20016,Men,Flip Flops,Coach,Pink,37,Yes,No,No,5
d164,13/06/15,19399,Men,Boots,Tommy Hilfiger,White,40,Yes,No,No,4
d165,14/06/15,20039,Women,Stilettos,Tommy Hilfiger,White,38,Yes,No,Yes,1
d166,15/06/15,18809,Men,Boots,Tommy Hilfiger,White,41,Yes,No,No,4
d167,16/06/15,18458,Men,Boots,Kate Spade,Red,38,Yes,No,Yes,1
d168,17/06/15,17817,Men,Flip Flops,Coach,Pink,40,Yes,No,No,5
d169,18/06/15,18042,Men,Flip Flops,Kate Spade,Red,37,Yes,No,Yes,1
d170,19/06/15,19919,Women,Wedges,Tommy Hilfiger,White,38,Yes,No,No,5
d171,20/06/15,18956,Women,Wedges,Tommy Hilfiger,White,40,Yes,No,No,5
d172,21/06/15,19643,Men,Flip Flops,Coach,Pink,37,Yes,No,No,5
d173,22/06/15,18638,Men,Sneakers,Tommy Hilfiger,White,39,Yes,No,No,5
d174,23/06/15,19046,Men,Flip Flops,Tommy Hilfiger,White,41,Yes,Yes,No,4
d175,24/06/15,18391,Men,Sneakers,Tommy Hilfiger,White,37,Yes,No,Yes,1
d176,25/06/15,17939,Men,Boots,Aldo,Black,38,Yes,Yes,No,4
d177,26/06/15,17245,Men,Sneakers,Aldo,Black,37,Yes,No,Yes,1
d178,27/06/15,18274,Men,Flip Flops,Coach,Pink,40,Yes,No,No,5
d179,28/06/15,18499,Men,Boots,Aldo,Black,41,Yes,Yes,Yes,1
d180,29/06/15,17943,Men,Sneakers,Coach,Pink,41,Yes,Yes,No,5
d181,30/06/15,17379,Men,Flip Flops,Tommy Hilfiger,White,39,Yes,No,No,5
d182,01/07/15,18027,Women,Stilettos,Aldo,Black,41,Yes,No,Yes,1
d183,02/07/15,19390,Women,Stilettos,Coach,Pink,37,Yes,No,No,3
d184,03/07/15,19168,Men,Boots,Aldo,Black,40,Yes,No,Yes,1
d185,04/07/15,19567,Men,Boots,Coach,Pink,41,Yes,No,Yes,1
d186,05/07/15,26587,Women,Wedges,Tommy Hilfiger,White,38,Yes,No,No,5
d187,06/07/15,20157,Women,Stilettos,Aldo,Black,38,Yes,Yes,No,4
d188,07/07/15,23787,Women,Wedges,Aldo,Black,39,Yes,No,No,5
d189,08/07/15,26091,Men,Sneakers,Aldo,Black,38,Yes,Yes,No,5
d190,09/07/15,34360,Men,Boots,Adidas,Blue,37,Yes,No,No,5
d191,10/07/15,17504,Men,Flip Flops,Coach,Pink,41,Yes,No,No,5
d192,11/07/15,17580,Men,Boots,Tommy Hilfiger,White,38,Yes,No,Yes,1
d193,12/07/15,17441,Men,Flip Flops,Kate Spade,Red,37,Yes,No,No,3
d194,13/07/15,17513,Men,Boots,Tommy Hilfiger,White,39,Yes,No,Yes,1
d195,14/07/15,16953,Men,Sneakers,Tommy Hilfiger,White,40,Yes,Yes,Yes,1
d196,15/07/15,19293,Men,Boots,Tommy Hilfiger,White,40,Yes,No,No,5
d197,16/07/15,21680,Women,Wedges,Kate Spade,Red,40,Yes,No,No,4
d198,17/07/15,20808,Men,Sneakers,Coach,Pink,40,Yes,No,No,5
d199,18/07/15,18335,Men,Sneakers,Kate Spade,Red,38,Yes,No,No,5
d200,19/07/15,19816,Women,Stilettos,Tommy Hilfiger,White,41,Yes,Yes,No,5
d201,20/07/15,18791,Men,Flip Flops,Aldo,Black,40,Yes,No,No,4
d202,21/07/15,19025,Men,Sneakers,Aldo,Black,41,Yes,No,No,5
d203,22/07/15,17661,Women,Stilettos,Aldo,Black,39,Yes,No,No,5
d204,23/07/15,18001,Men,Sneakers,Tommy Hilfiger,White,38,Yes,No,No,3
d205,24/07/15,18475,Men,Boots,Tommy Hilfiger,White,41,Yes,Yes,Yes,2
d206,25/07/15,18564,Women,Stilettos,Adidas,Blue,41,Yes,No,No,5
d207,26/07/15,18863,Men,Boots,Kate Spade,Red,40,Yes,Yes,No,4
d208,27/07/15,17455,Men,Boots,Tommy Hilfiger,White,40,Yes,Yes,No,4
d209,28/07/15,18377,Men,Boots,Coach,Pink,41,Yes,No,No,5
d210,29/07/15,18385,Men,Sneakers,Coach,Pink,37,Yes,No,No,4
d211,30/07/15,16882,Women,Stilettos,Coach,Pink,40,Yes,No,No,4
d212,31/07/15,17977,Men,Sneakers,Adidas,Blue,41,Yes,Yes,No,5
d213,01/08/15,19337,Men,Flip Flops,Adidas,Blue,37,Yes,Yes,No,5
d214,02/08/15,19291,Men,Flip Flops,Tommy Hilfiger,White,41,Yes,No,No,3
d215,03/08/15,19537,Men,Flip Flops,Kate Spade,Red,39,Yes,No,Yes,2
d216,04/08/15,17909,Men,Flip Flops,Coach,Pink,41,Yes,No,No,5
d217,05/08/15,18662,Women,Stilettos,Aldo,Black,38,Yes,No,No,4
d218,06/08/15,18531,Women,Stilettos,Tommy Hilfiger,White,41,Yes,No,No,4
d219,07/08/15,17851,Men,Sneakers,Kate Spade,Red,38,Yes,Yes,No,5
d220,08/08/15,17438,Men,Sneakers,Coach,Pink,40,Yes,No,No,4
d221,09/08/15,16806,Women,Wedges,Tommy Hilfiger,White,37,Yes,Yes,No,5
d222,10/08/15,18767,Men,Boots,Kate Spade,Red,41,Yes,Yes,No,5
d223,11/08/15,18127,Men,Sneakers,Aldo,Black,41,Yes,No,No,4
d224,12/08/15,18440,Men,Boots,Adidas,Blue,40,Yes,Yes,No,4
d225,13/08/15,18211,Men,Flip Flops,Coach,Pink,41,Yes,No,No,5
d226,14/08/15,18091,Men,Boots,Kate Spade,Red,38,Yes,No,No,5
d227,15/08/15,17480,Men,Boots,Kate Spade,Red,37,Yes,Yes,No,4
d228,16/08/15,16914,Men,Sneakers,Kate Spade,Red,37,Yes,No,No,4
d229,17/08/15,16693,Men,Flip Flops,Aldo,Black,38,Yes,No,No,5
d230,18/08/15,16503,Men,Sneakers,Kate Spade,Red,41,Yes,No,Yes,1
d231,19/08/15,18375,Women,Stilettos,Tommy Hilfiger,White,40,Yes,Yes,No,5
d232,20/08/15,17438,Women,Wedges,Coach,Pink,40,Yes,No,No,5
d233,21/08/15,18346,Women,Wedges,Tommy Hilfiger,White,37,Yes,Yes,No,4
d234,22/08/15,17692,Men,Sneakers,Aldo,Black,41,Yes,Yes,No,4
d235,23/08/15,19597,Men,Boots,Tommy Hilfiger,White,41,Yes,No,No,5
d236,24/08/15,19207,Men,Flip Flops,Tommy Hilfiger,White,40,Yes,No,No,5
d237,25/08/15,19027,Men,Sneakers,Tommy Hilfiger,White,38,Yes,No,No,4
d238,26/08/15,26142,Men,Flip Flops,Adidas,Blue,39,Yes,Yes,No,4
d239,27/08/15,19549,Women,Stilettos,Coach,Pink,37,Yes,No,No,5
d240,28/08/15,22905,Men,Flip Flops,Tommy Hilfiger,White,40,Yes,Yes,Yes,1
d241,29/08/15,24327,Men,Flip Flops,Kate Spade,Red,37,Yes,Yes,No,5
d242,30/08/15,32243,Men,Sneakers,Aldo,Black,39,Yes,No,No,4
d243,31/08/15,18742,Men,Flip Flops,Kate Spade,Red,39,Yes,Yes,No,4
d244,01/09/15,17995,Men,Sneakers,Adidas,Blue,37,Yes,No,No,5
d245,02/09/15,17447,Men,Flip Flops,Tommy Hilfiger,White,38,Yes,Yes,No,5
d246,03/09/15,17117,Men,Boots,Aldo,Black,37,Yes,No,No,3
d247,04/09/15,16609,Men,Sneakers,Kate Spade,Red,37,Yes,No,No,4
d248,05/09/15,19353,Men,Boots,Coach,Pink,40,Yes,No,Yes,2
d249,06/09/15,21033,Men,Boots,Adidas,Blue,37,Yes,No,Yes,2
d250,07/09/15,21966,Men,Boots,Coach,Pink,40,Yes,No,Yes,1
d251,08/09/15,18618,Men,Sneakers,Kate Spade,Red,41,Yes,No,No,5
d252,09/09/15,19525,Men,Sneakers,Aldo,Black,38,Yes,Yes,No,4
d253,10/09/15,19376,Men,Sneakers,Tommy Hilfiger,White,38,Yes,No,No,4
d254,11/09/15,19760,Men,Flip Flops,Coach,Pink,39,Yes,No,No,5
d255,12/09/15,17904,Men,Sneakers,Coach,Pink,38,Yes,No,No,5
d256,13/09/15,18574,Women,Stilettos,Coach,Pink,39,Yes,No,No,3
d257,14/09/15,21290,Men,Flip Flops,Aldo,Black,37,Yes,No,No,4
d258,15/09/15,19358,Men,Boots,Coach,Pink,40,Yes,No,Yes,2
d259,16/09/15,18473,Men,Flip Flops,Aldo,Black,41,Yes,No,Yes,2
d260,17/09/15,17641,Men,Flip Flops,Adidas,Blue,39,Yes,Yes,Yes,1
d261,18/09/15,19239,Men,Flip Flops,Adidas,Blue,37,Yes,No,No,4
d262,19/09/15,19175,Men,Sneakers,Kate Spade,Red,38,Yes,No,Yes,1
d263,20/09/15,20009,Men,Flip Flops,Aldo,Black,39,Yes,No,No,4
d264,21/09/15,19127,Men,Boots,Aldo,Black,37,Yes,Yes,Yes,1
d265,22/09/15,19100,Men,Boots,Kate Spade,Red,37,Yes,No,Yes,1
d266,23/09/15,20102,Men,Sneakers,Aldo,Black,37,Yes,No,No,5
d267,24/09/15,19629,Women,Wedges,Kate Spade,Red,39,Yes,Yes,No,5
d268,25/09/15,18877,Men,Flip Flops,Kate Spade,Red,39,Yes,No,No,4
d269,26/09/15,18810,Men,Boots,Tommy Hilfiger,White,37,Yes,Yes,No,5
d270,27/09/15,20415,Men,Sneakers,Coach,Pink,41,Yes,No,No,5
d271,28/09/15,18300,Men,Flip Flops,Kate Spade,Red,38,Yes,No,No,4
d272,29/09/15,18196,Women,Stilettos,Tommy Hilfiger,White,38,Yes,No,Yes,1
d273,30/09/15,17579,Men,Flip Flops,Coach,Pink,39,Yes,No,No,4
d274,01/10/15,19461,Men,Flip Flops,Adidas,Blue,39,Yes,Yes,Yes,1
d275,02/10/15,18667,Men,Flip Flops,Kate Spade,Red,39,Yes,Yes,Yes,1
d276,03/10/15,19280,Men,Sneakers,Aldo,Black,38,Yes,No,No,5
d277,04/10/15,18767,Men,Sneakers,Coach,Pink,37,Yes,Yes,No,5
d278,05/10/15,19470,Men,Flip Flops,Aldo,Black,38,Yes,Yes,No,4
d279,06/10/15,18987,Women,Stilettos,Kate Spade,Red,39,Yes,No,No,5
d280,07/10/15,18148,Men,Sneakers,Aldo,Black,38,Yes,Yes,No,5
d281,08/10/15,18294,Men,Flip Flops,Aldo,Black,41,Yes,No,No,4
d282,09/10/15,17464,Men,Sneakers,Coach,Pink,39,Yes,Yes,No,4
d283,10/10/15,19983,Men,Boots,Kate Spade,Red,39,Yes,No,No,5
d284,11/10/15,19007,Women,Wedges,Coach,Pink,41,Yes,No,Yes,1
d285,12/10/15,18479,Men,Sneakers,Tommy Hilfiger,White,41,Yes,No,Yes,1
d286,13/10/15,18344,Men,Boots,Kate Spade,Red,39,Yes,Yes,No,5
d287,14/10/15,4616,Men,Flip Flops,Kate Spade,Red,40,Yes,Yes,Yes,2
d288,15/10/15,4207,Men,Sneakers,Coach,Pink,40,Yes,No,No,5
d289,16/10/15,4216,Men,Sneakers,Aldo,Black,37,Yes,No,No,3
d290,17/10/15,4072,Men,Sneakers,Aldo,Black,39,Yes,No,No,5
d291,18/10/15,4152,Men,Sneakers,Adidas,Blue,41,Yes,No,No,4
d292,19/10/15,3842,Men,Sneakers,Tommy Hilfiger,White,39,Yes,Yes,No,4
d293,20/10/15,3753,Women,Stilettos,Kate Spade,Red,41,Yes,Yes,No,5
d294,21/10/15,3599,Women,Wedges,Coach,Pink,37,Yes,No,Yes,1
d295,22/10/15,4232,Women,Stilettos,Tommy Hilfiger,White,41,Yes,No,Yes,1
d296,23/10/15,4158,Men,Boots,Kate Spade,Red,39,Yes,Yes,No,5
d297,24/10/15,3549,Women,Stilettos,Tommy Hilfiger,White,41,Yes,Yes,Yes,2
d298,25/10/15,3399,Men,Sneakers,Tommy Hilfiger,White,38,Yes,No,No,5
d299,26/10/15,3612,Men,Sneakers,Adidas,Blue,40,Yes,Yes,No,3
d300,27/10/15,3993,Men,Flip Flops,Coach,Pink,41,Yes,Yes,No,5
d301,28/10/15,3843,Men,Flip Flops,Kate Spade,Red,40,Yes,No,Yes,1
d302,29/10/15,3437,Men,Flip Flops,Aldo,Black,38,Yes,No,Yes,1
d303,30/10/15,3500,Men,Flip Flops,Adidas,Blue,39,Yes,No,No,4
d304,31/10/15,3969,Men,Sneakers,Coach,Pink,40,Yes,Yes,No,5
d305,01/11/15,3550,Men,Sneakers,Tommy Hilfiger,White,39,Yes,No,No,5
d306,02/11/15,3640,Men,Flip Flops,Kate Spade,Red,38,Yes,No,Yes,2
d307,03/11/15,3573,Men,Flip Flops,Coach,Pink,37,Yes,No,No,3
d308,04/11/15,3811,Men,Flip Flops,Adidas,Blue,39,Yes,No,No,5
d309,05/11/15,3492,Men,Boots,Coach,Pink,37,Yes,Yes,No,5
d310,06/11/15,3527,Men,Sneakers,Adidas,Blue,38,Yes,Yes,Yes,1
d311,07/11/15,3528,Women,Stilettos,Kate Spade,Red,38,Yes,Yes,Yes,1
d312,08/11/15,3479,Men,Boots,Kate Spade,Red,41,Yes,No,Yes,1
d313,09/11/15,4026,Men,Flip Flops,Coach,Pink,38,Yes,No,No,4
d314,10/11/15,3395,Men,Flip Flops,Kate Spade,Red,37,Yes,No,No,5
d315,11/11/15,3517,Men,Flip Flops,Aldo,Black,39,No,Yes,No,5
